284,510,328
450,791,811
218,317,279
529,343,235
254,379,313
517,966,487
831,549,542
165,50,460
206,453,345
230,228,395
839,148,464
16,942,139
380,379,918
171,578,373
813,529,357
806,478,192
546,763,204
143,597,153
762,954,887
683,878,109
579,300,944
861,726,273
964,5,929
533,295,457
116,282,423
209,858,557
344,141,183
198,668,166
916,872,644
766,542,774
571,361,271
408,839,354
321,980,664
451,842,673
714,485,732
549,296,65
667,45,683
686,164,991
611,941,565
3,986,294
992,863,618
591,421,805
914,944,888
848,675,864
857,893,935
472,370,335
217,757,643
171,105,727
581,456,469
492,876,615
383,54,307
605,245,809
579,503,790
244,129,335
751,393,445
705,516,247
79,867,685
604,421,579
156,885,241
92,313,647
171,169,390
134,225,711
484,255,825
7,748,305
512,419,715
179,474,441
842,891,4
124,896,628
175,626,480
26,709,88
34,820,857
223,458,183
560,325,319
600,773,511
299,677,336
81,212,396
770,866,683
486,868,889
218,316,224
247,741,238
218,64,450
46,785,994
701,714,188
267,390,217
191,633,249
667,900,964
555,821,469
227,539,415
681,857,131
524,944,442
202,977,945
509,812,48
864,452,603
149,467,553
302,85,21
927,875,347
606,228,784
616,78,49
761,181,860
931,244,34
743,974,898
336,938,926
68,848,409
771,80,546
972,180,842
204,840,84
424,322,795
365,252,346
116,784,351
438,404,456
295,430,596
739,669,192
785,957,735
348,335,225
117,772,579
900,798,618
874,539,109
548,157,809
406,617,259
822,619,394
964,459,589
407,441,721
47,339,627
654,242,880
767,92,964
680,826,466
267,793,210
754,913,1000
904,722,54
949,510,650
801,741,881
646,714,765
734,212,15
810,223,689
211,169,665
4,897,727
133,15,821
686,194,663
582,729,920
697,790,574
202,911,161
105,161,969
764,422,870
200,582,605
674,303,894
349,925,74
484,326,668
360,79,976
339,846,858
279,288,961
54,385,425
702,96,620
97,987,644
333,42,66
52,56,219
577,103,886
963,100,167
948,357,444
327,911,240
434,596,307
727,205,635
712,544,750
178,463,489
724,456,329
386,259,953
983,442,765
431,242,277
562,935,113
826,82,53
5,898,312
921,39,158
431,537,572
512,563,308
765,381,891
125,922,8
318,216,806
202,217,584
469,378,885
695,723,370
891,921,724
713,351,314
597,117,415
607,341,908
20,119,328
93,293,388
468,578,374
172,82,304
483,899,916
95,408,215
609,114,580
476,817,199
438,430,223
111,49,644
270,33,496
725,421,576
889,351,713
371,197,159
461,282,273
550,843,910
888,968,921
590,430,467
289,411,695
657,903,116
611,902,512
438,844,372
615,689,145
745,553,924
187,128,200
196,906,344
874,989,671
339,738,5
736,718,575
633,524,749
765,609,900
506,260,286
148,749,393
514,686,559
614,10,358
351,161,277
276,530,955
679,248,839
715,236,430
178,96,209
925,8,150
143,406,88
289,1000,615
360,200,586
760,237,939
418,189,152
461,160,962
627,661,195
690,370,205
743,120,161
32,222,148
988,131,194
895,589,977
6,381,892
645,435,99
227,645,127
188,461,676
166,454,438
161,867,800
271,280,397
616,746,128
882,173,36
430,19,802
331,381,292
176,176,445
187,41,840
586,915,61
881,518,796
153,857,570
998,192,156
153,367,60
346,98,279
682,776,733
981,786,358
324,13,308
272,457,448
971,336,854
569,84,495
354,105,887
995,317,971
359,819,472
951,164,838
26,843,181
169,64,374
22,190,371
934,256,136
600,49,578
484,865,727
503,470,514
770,847,379
123,653,702
699,106,841
748,556,123
23,623,586
927,586,912
281,289,557
725,63,976
626,257,483
827,615,608
693,264,875
366,888,152
206,63,412
662,745,555
230,512,429
123,939,319
132,518,147
687,164,657
155,661,757
940,441,214
135,863,809
3,284,199
752,6,332
853,414,550
904,47,581
24,973,765
55,59,956
59,663,985
107,84,159
590,578,99
549,988,666
508,333,797
301,785,284
997,575,872
991,402,194
577,22,903
226,838,630
112,119,263
535,208,865
650,149,184
923,147,708
250,18,158
710,195,871
208,86,542
523,522,956
514,429,551
778,753,429
506,575,665
662,741,333
998,751,430
186,644,368
216,202,415
892,321,363
626,322,635
124,325,441
421,335,133
432,113,390
598,714,194
764,561,98
384,536,365
853,915,723
228,293,227
819,50,49
164,757,402
729,816,446
223,340,996
516,744,346
670,452,449
781,952,468
491,815,68
94,297,660
107,81,203
824,120,347
737,113,922
694,300,963
181,986,212
267,825,407
507,630,241
739,42,674
820,748,517
521,540,194
178,755,736
24,180,99
956,276,338
911,425,581
749,270,744
794,114,777
998,712,62
696,664,191
303,845,537
253,117,580
38,47,85
776,79,666
732,613,103
697,125,339
352,90,469
891,851,118
308,505,469
441,646,317
355,784,558
649,617,744
357,194,826
941,513,916
341,156,265
266,79,435
974,780,706
328,369,975
596,199,962
947,68,565
174,468,107
85,519,676
977,86,779
433,77,142
933,276,697
87,22,114
652,245,27
574,693,947
557,300,898
620,581,940
502,665,110
499,415,157
947,131,537
844,973,626
353,678,791
174,55,906
629,845,205
984,386,458
533,43,533
580,759,508
513,376,247
835,662,374
935,167,912
209,486,593
114,227,613
740,483,36
510,192,962
265,520,762
222,296,786
228,2,215
142,899,487
345,946,700
731,761,308
903,263,385
924,661,350
740,650,144
629,372,690
157,105,176
86,377,830
311,590,274
28,163,981
903,386,898
219,792,200
321,995,117
797,132,205
568,236,980
638,758,336
258,659,199
409,891,852
137,130,555
656,275,52
166,651,676
80,20,509
278,262,871
999,976,7
732,551,151
495,283,419
359,140,914
802,419,512
538,431,995
947,846,489
142,313,75
811,660,787
365,183,176
986,938,604
196,307,336
403,809,960
950,776,659
919,878,297
140,253,704
552,244,642
75,920,533
937,398,45
716,939,183
76,174,241
161,638,58
157,671,62
72,430,837
138,970,80
94,892,22
96,813,850
447,631,261
11,96,526
180,106,239
882,286,787
461,939,306
430,976,337
394,590,924
308,594,153
778,874,151
369,583,175
806,447,329
200,637,148
527,785,512
373,751,389
936,459,569
771,978,270
137,28,797
133,964,51
54,226,356
737,820,286
440,2,11
47,208,725
849,15,201
668,458,653
968,88,984
600,996,569
282,14,61
388,560,265
949,245,355
213,60,378
509,140,684
186,472,358
878,282,904
881,697,679
440,903,760
366,427,320
936,907,459
950,787,343
